"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.controller.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.module.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\admin\admin.service.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\app.module.ts", "TypeScript", 57, 0, 2, 59
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth.controller.ts", "TypeScript", 150, 0, 9, 159
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth.module.ts", "TypeScript", 29, 0, 2, 31
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth.service.ts", "TypeScript", 165, 0, 15, 180
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_google.controller.ts", "TypeScript", 34, 0, 3, 37
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_google.service.ts", "TypeScript", 36, 0, 2, 38
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_telegram.controller.ts", "TypeScript", 78, 0, 4, 82
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_telegram.service.ts", "TypeScript", 81, 0, 7, 88
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_yandex.controller.ts", "TypeScript", 45, 0, 3, 48
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\auth_yandex.service.ts", "TypeScript", 63, 0, 9, 72
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\dto\telegramAuth.dto.ts", "TypeScript", 41, 0, 8, 49
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\dto\yandexAuth.dto.ts", "TypeScript", 40, 0, 8, 48
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\tests\auth.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\auth\tests\auth.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\main.ts", "TypeScript", 27, 0, 4, 31
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\outline-vpn\dto\outline.dto.ts", "TypeScript", 75, 0, 13, 88
