"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\outline-vpn\outline-vpn.controller.ts", "TypeScript", 11, 0, 0, 11
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\outline-vpn\outline-vpn.module.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\outline-vpn\outline-vpn.service.ts", "TypeScript", -7, 0, 0, -7
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\subscription\subscription.module.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\subscription\subscription.service.ts", "TypeScript", 4, 0, 0, 4
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\telegram-bot\handlers\VPN\handleChangeRegion.ts", "TypeScript", -31, 36, -1, 4
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\telegram-bot\handlers\VPN\handleGetKey.ts", "TypeScript", 3, 0, 0, 3
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\user\user.module.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\user\user.service.ts", "TypeScript", 7, 0, 0, 7
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vless-vpn\dto\vlessDto.ts", "TypeScript", 91, 0, 11, 102
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vless-vpn\vless-vpn.controller.ts", "TypeScript", 14, 0, 1, 15
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vless-vpn\vless-vpn.module.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vless-vpn\vless-vpn.service.ts", "TypeScript", 110, 0, 20, 130
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vpn-protocol\tests\vpn-protocol.controller.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vpn-protocol\tests\vpn-protocol.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vpn-protocol\vpn-protocol.controller.spec.ts", "TypeScript", -14, 0, -5, -19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vpn-protocol\vpn-protocol.controller.ts", "TypeScript", 14, 0, 1, 15
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vpn-protocol\vpn-protocol.module.ts", "TypeScript", 3, 0, 0, 3
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vpn-protocol\vpn-protocol.service.spec.ts", "TypeScript", -14, 0, -5, -19
"c:\Users\johnn\WebstormProjects\slivki-vpn_api\src\vpn-protocol\vpn-protocol.service.ts", "TypeScript", 46, 0, 8, 54
"Total", "-", 271, 36, 40, 347
